category,case_number,gcp_id,scene_id,method,true_rank,reuse_margin,soft_ratio_patch,image,semantic_note
reuse_success,1,ctx_51RUQ_000844,51RUQ_20250916T024141,compact_128B_dct_sign_hamming,1.0,0.1671554148197174,0.1867523193359375,failure_cases/reuse_success/01_ctx_51RUQ_000844_51RUQ_20250916T024141.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,2,ctx_51RUQ_000544,51RUQ_20250916T024141,compact_128B_dct_sign_hamming,1.0,0.2003909945487976,0.53387451171875,failure_cases/reuse_success/02_ctx_51RUQ_000544_51RUQ_20250916T024141.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,3,ctx_51RUQ_000951,51RUQ_20250916T024141,compact_128B_dct_sign_hamming,1.0,0.1994134783744812,0.376617431640625,failure_cases/reuse_success/03_ctx_51RUQ_000951_51RUQ_20250916T024141.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,4,ctx_51RUQ_000639,51RUQ_20250916T024141,compact_128B_dct_sign_hamming,1.0,0.2072336226701736,0.3602752685546875,failure_cases/reuse_success/04_ctx_51RUQ_000639_51RUQ_20250916T024141.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,5,ctx_51RUQ_000543,51RUQ_20250916T024141,compact_128B_dct_sign_hamming,1.0,0.2218963652849197,0.16363525390625,failure_cases/reuse_success/05_ctx_51RUQ_000543_51RUQ_20250916T024141.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,6,ctx_51RUQ_000908,51RUQ_20250916T024141,compact_128B_dct_sign_hamming,1.0,0.2228738963603973,0.3038787841796875,failure_cases/reuse_success/06_ctx_51RUQ_000908_51RUQ_20250916T024141.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,7,ctx_51RUQ_000830,51RUQ_20250916T024141,compact_128B_dct_sign_hamming,1.0,0.2355816066265106,0.3346099853515625,failure_cases/reuse_success/07_ctx_51RUQ_000830_51RUQ_20250916T024141.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,8,ctx_51RUQ_000244,51RUQ_20250916T024141,compact_128B_dct_sign_hamming,1.0,0.245356798171997,0.399871826171875,failure_cases/reuse_success/08_ctx_51RUQ_000244_51RUQ_20250916T024141.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,9,ctx_51RUQ_000678,51RUQ_20250916T024141,compact_128B_dct_sign_hamming,1.0,0.2629520893096924,0.2689361572265625,failure_cases/reuse_success/09_ctx_51RUQ_000678_51RUQ_20250916T024141.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,10,ctx_51RVQ_000182,51RVQ_20251122T023141,compact_128B_dct_sign_hamming,1.0,0.1045943200588226,0.9808807373046876,failure_cases/reuse_success/10_ctx_51RVQ_000182_51RVQ_20251122T023141.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,11,ctx_51RVQ_000104,51RVQ_20251122T023141,compact_128B_dct_sign_hamming,1.0,0.1260997056961059,0.5970001220703125,failure_cases/reuse_success/11_ctx_51RVQ_000104_51RVQ_20251122T023141.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,12,ctx_51RVQ_000196,51RVQ_20251122T023141,compact_128B_dct_sign_hamming,1.0,0.1955034285783767,0.925201416015625,failure_cases/reuse_success/12_ctx_51RVQ_000196_51RVQ_20251122T023141.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,13,ctx_51RVQ_000196,51RVQ_20260213T022719,compact_128B_dct_sign_hamming,1.0,0.0918866097927093,0.925201416015625,failure_cases/reuse_success/13_ctx_51RVQ_000196_51RVQ_20260213T022719.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
reuse_success,14,ctx_51RVQ_000016,51RVQ_20260213T022719,compact_128B_dct_sign_hamming,1.0,0.1622678339481353,0.55206298828125,failure_cases/reuse_success/14_ctx_51RVQ_000016_51RVQ_20260213T022719.jpg,"building/road labels are automatic context heuristics, not manual semantic truth"
